truck_id,route_id,departure_date,estimated_arrival,delay
T399,R273,01/01/2019 07:00,17:24.0,1
T416,R274,01/01/2019 07:00,22:48.0,0
T298,R275,01/01/2019 07:00,50:24.0,0
T80,R276,01/01/2019 07:00,46:48.0,0
T599,R278,01/01/2019 07:00,45:36.0,1
T228,R279,01/01/2019 07:00,22:12.0,1
T45,R281,01/01/2019 07:00,35:24.0,1
T454,R282,01/01/2019 07:00,10:48.0,0
T127,R284,01/01/2019 07:00,50:24.0,0
T151,R285,01/01/2019 07:00,34:48.0,0
T381,R286,01/01/2019 07:00,25:48.0,0
T302,R287,01/01/2019 07:00,20:24.0,1
T117,R288,01/01/2019 07:00,47:24.0,0
T175,R290,01/01/2019 07:00,56:24.0,1
T122,R295,01/01/2019 07:00,35:24.0,0
T258,R315,01/01/2019 07:00,54:36.0,1
T489,R334,01/01/2019 07:00,15:00.0,0
T441,R343,01/01/2019 07:00,35:24.0,0
T205,R385,01/01/2019 07:00,01:12.0,0
T300,R387,01/01/2019 07:00,09:00.0,0
T289,R389,01/01/2019 07:00,48:00.0,0
T107,R393,01/01/2019 07:00,45:00.0,0
T76,R395,01/01/2019 07:00,52:12.0,0
T123,R396,01/01/2019 07:00,06:36.0,0
T246,R399,01/01/2019 07:00,03:00.0,0
T595,R400,01/01/2019 07:00,08:24.0,1
T83,R401,01/01/2019 07:00,46:48.0,0
T496,R402,01/01/2019 07:00,16:12.0,0
T612,R403,01/01/2019 07:00,25:12.0,0
T521,R408,01/01/2019 07:00,13:12.0,0
T15,R414,01/01/2019 07:00,00:00.0,0
T36,R415,01/01/2019 07:00,22:48.0,0
T301,R416,01/01/2019 07:00,24:36.0,0
T536,R417,01/01/2019 07:00,07:12.0,0
T545,R425,01/01/2019 07:00,38:24.0,0
T97,R428,01/01/2019 07:00,40:12.0,0
T372,R431,01/01/2019 07:00,02:24.0,0
T581,R433,01/01/2019 07:00,45:36.0,0
T109,R438,01/01/2019 07:00,27:36.0,0
T204,R441,01/01/2019 07:00,45:00.0,0
T617,R442,01/01/2019 07:00,13:48.0,0
T388,R443,01/01/2019 07:00,09:00.0,0
T531,R444,01/01/2019 07:00,52:48.0,1
T74,R445,01/01/2019 07:00,20:24.0,0
T485,R446,01/01/2019 07:00,04:12.0,0
T271,R447,01/01/2019 07:00,01:48.0,0
T463,R448,01/01/2019 07:00,17:24.0,0
T82,R450,01/01/2019 07:00,50:24.0,0
T360,R451,01/01/2019 07:00,42:36.0,1
T359,R452,01/01/2019 07:00,38:24.0,0
T85,R454,01/01/2019 07:00,07:48.0,1
T583,R456,01/01/2019 07:00,19:12.0,0
T328,R457,01/01/2019 07:00,34:12.0,0
T590,R458,01/01/2019 07:00,45:00.0,0
T518,R459,01/01/2019 07:00,02:24.0,1
T255,R460,01/01/2019 07:00,21:00.0,1
T225,R461,01/01/2019 07:00,22:12.0,0
T407,R462,01/01/2019 07:00,51:36.0,0
T33,R463,01/01/2019 07:00,04:12.0,1
T480,R464,01/01/2019 07:00,40:48.0,0
T316,R465,01/01/2019 07:00,31:48.0,0
T162,R466,01/01/2019 07:00,42:36.0,0
T508,R467,01/01/2019 07:00,03:36.0,0
T443,R468,01/01/2019 07:00,33:00.0,0
T43,R470,01/01/2019 07:00,10:48.0,0
T487,R471,01/01/2019 07:00,44:24.0,0
T541,R473,01/01/2019 07:00,34:48.0,0
T404,R474,01/01/2019 07:00,10:12.0,1
T609,R476,01/01/2019 07:00,31:12.0,0
T284,R477,01/01/2019 07:00,21:00.0,0
T283,R478,01/01/2019 07:00,08:24.0,0
T584,R479,01/01/2019 07:00,16:48.0,1
T208,R480,01/01/2019 07:00,10:12.0,0
T412,R481,01/01/2019 07:00,46:48.0,0
T386,R486,01/01/2019 07:00,24:36.0,0
T121,R490,01/01/2019 07:00,13:48.0,0
T313,R492,01/01/2019 07:00,33:00.0,0
T227,R493,01/01/2019 07:00,16:48.0,1
T376,R494,01/01/2019 07:00,28:48.0,0
T13,R495,01/01/2019 07:00,57:36.0,0
T408,R496,01/01/2019 07:00,48:00.0,1
T605,R498,01/01/2019 07:00,41:24.0,0
T134,R499,01/01/2019 07:00,06:36.0,0
T103,R500,01/01/2019 07:00,20:24.0,0
T38,R502,01/01/2019 07:00,55:48.0,0
T237,R504,01/01/2019 07:00,30:36.0,0
T111,R505,01/01/2019 07:00,16:12.0,0
T222,R506,01/01/2019 07:00,57:00.0,0
T374,R508,01/01/2019 07:00,33:36.0,0
T551,R509,01/01/2019 07:00,22:12.0,0
T479,R510,01/01/2019 07:00,07:12.0,0
T569,R511,01/01/2019 07:00,39:00.0,0
T389,R512,01/01/2019 07:00,15:36.0,0
T377,R513,01/01/2019 07:00,42:00.0,0
T197,R514,01/01/2019 07:00,34:48.0,1
T69,R515,01/01/2019 07:00,47:24.0,0
T379,R516,01/01/2019 07:00,09:00.0,0
T235,R518,01/01/2019 07:00,48:00.0,0
T52,R519,01/01/2019 07:00,37:12.0,1
T219,R521,01/01/2019 07:00,12:00.0,1
T113,R522,01/01/2019 07:00,28:12.0,1
T563,R524,01/01/2019 07:00,17:24.0,1
T478,R525,01/01/2019 07:00,50:24.0,0
T451,R527,01/01/2019 07:00,29:24.0,0
T58,R528,01/01/2019 07:00,05:24.0,0
T241,R529,01/01/2019 07:00,34:12.0,1
T602,R531,01/01/2019 07:00,25:12.0,0
T325,R533,01/01/2019 07:00,17:24.0,0
T370,R534,01/01/2019 07:00,00:36.0,0
T229,R537,01/01/2019 07:00,52:12.0,0
T94,R538,01/01/2019 07:00,09:00.0,1
T29,R540,01/01/2019 07:00,50:24.0,0
T321,R541,01/01/2019 07:00,15:36.0,0
T549,R543,01/01/2019 07:00,58:48.0,0
T9,R544,01/01/2019 07:00,17:24.0,1
T392,R545,01/01/2019 07:00,19:12.0,0
T500,R546,01/01/2019 07:00,22:12.0,0
T409,R547,01/01/2019 07:00,31:48.0,0
T293,R550,01/01/2019 07:00,10:12.0,0
T288,R552,01/01/2019 07:00,06:00.0,0
T357,R555,01/01/2019 07:00,32:24.0,0
T529,R558,01/01/2019 07:00,18:00.0,0
T421,R559,01/01/2019 07:00,19:12.0,1
T144,R560,01/01/2019 07:00,48:00.0,0
T411,R561,01/01/2019 07:00,40:48.0,0
T39,R567,01/01/2019 07:00,45:00.0,1
T475,R569,01/01/2019 07:00,28:48.0,0
T401,R570,01/01/2019 07:00,22:12.0,1
T139,R572,01/01/2019 07:00,37:48.0,0
T40,R573,01/01/2019 07:00,19:12.0,0
T239,R574,01/01/2019 07:00,16:12.0,0
T81,R575,01/01/2019 07:00,52:12.0,0
T200,R576,01/01/2019 07:00,19:12.0,0
T468,R577,01/01/2019 07:00,39:36.0,0
T112,R579,01/01/2019 07:00,33:00.0,0
T77,R582,01/01/2019 07:00,22:48.0,0
T79,R585,01/01/2019 07:00,06:36.0,0
T502,R586,01/01/2019 07:00,52:48.0,0
T215,R587,01/01/2019 07:00,33:00.0,0
T564,R588,01/01/2019 07:00,50:24.0,0
T273,R589,01/01/2019 07:00,43:48.0,0
T31,R591,01/01/2019 07:00,51:36.0,1
T104,R592,01/01/2019 07:00,37:12.0,0
T75,R594,01/01/2019 07:00,10:48.0,1
T214,R595,01/01/2019 07:00,34:12.0,0
T333,R598,01/01/2019 07:00,49:12.0,0
T304,R600,01/01/2019 07:00,10:48.0,0
T272,R602,01/01/2019 07:00,48:00.0,0
T390,R603,01/01/2019 07:00,24:36.0,0
T116,R604,01/01/2019 07:00,36:36.0,0
T221,R606,01/01/2019 07:00,15:36.0,0
T280,R607,01/01/2019 07:00,32:24.0,0
T476,R608,01/01/2019 07:00,17:24.0,1
T240,R609,01/01/2019 07:00,15:00.0,0
T206,R611,01/01/2019 07:00,56:24.0,0
T118,R612,01/01/2019 07:00,09:00.0,1
T119,R614,01/01/2019 07:00,15:36.0,0
T86,R615,01/01/2019 07:00,28:12.0,1
T611,R617,01/01/2019 07:00,25:12.0,0
T252,R618,01/01/2019 07:00,34:12.0,0
T483,R620,01/01/2019 07:00,10:48.0,1
T402,R621,01/01/2019 07:00,54:36.0,0
T530,R622,01/01/2019 07:00,52:12.0,0
T512,R623,01/01/2019 07:00,08:24.0,0
T170,R624,01/01/2019 07:00,36:00.0,1
T130,R625,01/01/2019 07:00,02:24.0,0
T11,R630,01/01/2019 07:00,21:36.0,0
T25,R634,01/01/2019 07:00,20:24.0,0
T342,R635,01/01/2019 07:00,16:48.0,1
T260,R636,01/01/2019 07:00,15:36.0,0
T322,R637,01/01/2019 07:00,43:48.0,0
T582,R638,01/01/2019 07:00,03:36.0,0
T457,R639,01/01/2019 07:00,25:12.0,0
T89,R640,01/01/2019 07:00,54:36.0,1
T157,R642,01/01/2019 07:00,19:12.0,0
T12,R643,01/01/2019 07:00,09:36.0,1
T403,R644,01/01/2019 07:00,33:36.0,0
T432,R646,01/01/2019 07:00,42:36.0,0
T397,R648,01/01/2019 07:00,09:36.0,0
T576,R649,01/01/2019 07:00,28:48.0,0
T24,R650,01/01/2019 07:00,24:36.0,1
T305,R651,01/01/2019 07:00,22:48.0,1
T51,R652,01/01/2019 07:00,59:24.0,0
T2,R653,01/01/2019 07:00,30:36.0,0
T46,R654,01/01/2019 07:00,07:12.0,0
T133,R655,01/01/2019 07:00,31:12.0,0
T5,R656,01/01/2019 07:00,34:12.0,1
T156,R657,01/01/2019 07:00,55:12.0,0
T315,R658,01/01/2019 07:00,01:48.0,0
T585,R659,01/01/2019 07:00,43:12.0,0
T278,R660,01/01/2019 07:00,25:48.0,0
T533,R662,01/01/2019 07:00,01:48.0,0
T41,R663,01/01/2019 07:00,31:48.0,0
T600,R665,01/01/2019 07:00,46:48.0,1
T188,R666,01/01/2019 07:00,21:36.0,0
T474,R668,01/01/2019 07:00,51:36.0,0
T571,R669,01/01/2019 07:00,00:00.0,1
T406,R670,01/01/2019 07:00,09:00.0,0
T154,R671,01/01/2019 07:00,28:48.0,0
T513,R672,01/01/2019 07:00,27:00.0,0
T431,R673,01/01/2019 07:00,41:24.0,0
T425,R678,01/01/2019 07:00,25:12.0,0
T212,R682,01/01/2019 07:00,04:12.0,0
T186,R683,01/01/2019 07:00,28:48.0,0
T414,R686,01/01/2019 07:00,03:36.0,0
T615,R687,01/01/2019 07:00,27:36.0,0
T484,R688,01/01/2019 07:00,09:36.0,1
T20,R690,01/01/2019 07:00,00:00.0,0
T247,R691,01/01/2019 07:00,12:36.0,0
T196,R692,01/01/2019 07:00,40:48.0,0
T317,R694,01/01/2019 07:00,03:00.0,0
T561,R696,01/01/2019 07:00,06:36.0,0
T410,R697,01/01/2019 07:00,43:12.0,0
T540,R698,01/01/2019 07:00,13:48.0,0
T57,R700,01/01/2019 07:00,18:00.0,0
T519,R701,01/01/2019 07:00,31:48.0,0
T181,R704,01/01/2019 07:00,37:12.0,0
T68,R705,01/01/2019 07:00,33:00.0,0
T101,R706,01/01/2019 07:00,27:00.0,0
T517,R707,01/01/2019 07:00,45:36.0,0
T344,R708,01/01/2019 07:00,38:24.0,0
T539,R710,01/01/2019 07:00,21:36.0,0
T22,R711,01/01/2019 07:00,46:48.0,0
T542,R713,01/01/2019 07:00,45:00.0,0
T178,R714,01/01/2019 07:00,45:36.0,1
T352,R716,01/01/2019 07:00,35:24.0,0
T251,R717,01/01/2019 07:00,56:24.0,0
T223,R719,01/01/2019 07:00,19:48.0,0
T275,R720,01/01/2019 07:00,54:00.0,0
T291,R721,01/01/2019 07:00,48:00.0,1
T146,R726,01/01/2019 07:00,06:00.0,0
T534,R729,01/01/2019 07:00,03:00.0,0
T336,R730,01/01/2019 07:00,01:48.0,0
T140,R731,01/01/2019 07:00,57:36.0,0
T495,R732,01/01/2019 07:00,58:48.0,1
T159,R733,01/01/2019 07:00,51:36.0,1
T467,R734,01/01/2019 07:00,25:12.0,0
T70,R735,01/01/2019 07:00,27:36.0,0
T73,R736,01/01/2019 07:00,48:36.0,0
T211,R738,01/01/2019 07:00,29:24.0,0
T147,R739,01/01/2019 07:00,33:36.0,0
T72,R740,01/01/2019 07:00,58:12.0,0
T125,R742,01/01/2019 07:00,24:36.0,0
T353,R744,01/01/2019 07:00,27:36.0,0
T126,R745,01/01/2019 07:00,54:00.0,0
T233,R746,01/01/2019 07:00,40:12.0,1
T142,R747,01/01/2019 07:00,07:48.0,0
T287,R748,01/01/2019 07:00,10:12.0,0
T93,R750,01/01/2019 07:00,57:00.0,0
T143,R751,01/01/2019 07:00,57:36.0,0
T311,R752,01/01/2019 07:00,51:36.0,0
T201,R753,01/01/2019 07:00,27:00.0,0
T347,R755,01/01/2019 07:00,54:36.0,0
T436,R756,01/01/2019 07:00,49:48.0,1
T532,R758,01/01/2019 07:00,33:36.0,0
T216,R759,01/01/2019 07:00,41:24.0,0
T297,R761,01/01/2019 07:00,45:36.0,0
T557,R762,01/01/2019 07:00,09:36.0,0
T198,R764,01/01/2019 07:00,26:24.0,0
T514,R765,01/01/2019 07:00,31:12.0,0
T606,R766,01/01/2019 07:00,25:12.0,0
T232,R767,01/01/2019 07:00,31:12.0,0
T166,R768,01/01/2019 07:00,54:00.0,1
T306,R769,01/01/2019 07:00,08:24.0,0
T435,R774,01/01/2019 07:00,24:00.0,1
T42,R777,01/01/2019 07:00,08:24.0,1
T27,R778,01/01/2019 07:00,17:24.0,1
T87,R779,01/01/2019 07:00,48:00.0,1
T329,R780,01/01/2019 07:00,17:24.0,1
T138,R781,01/01/2019 07:00,37:12.0,0
T203,R782,01/01/2019 07:00,54:36.0,0
T428,R783,01/01/2019 07:00,09:36.0,1
T124,R784,01/01/2019 07:00,48:36.0,0
T8,R786,01/01/2019 07:00,57:36.0,0
T560,R787,01/01/2019 07:00,51:00.0,0
T296,R788,01/01/2019 07:00,52:48.0,0
T98,R790,01/01/2019 07:00,24:00.0,0
T368,R792,01/01/2019 07:00,33:36.0,0
T543,R793,01/01/2019 07:00,48:36.0,0
T477,R794,01/01/2019 07:00,58:48.0,0
T380,R795,01/01/2019 07:00,18:36.0,1
T427,R796,01/01/2019 07:00,48:36.0,1
T115,R797,01/01/2019 07:00,10:12.0,1
T544,R798,01/01/2019 07:00,45:36.0,0
T150,R799,01/01/2019 07:00,54:00.0,0
T265,R800,01/01/2019 07:00,56:24.0,0
T493,R801,01/01/2019 07:00,51:36.0,0
T419,R802,01/01/2019 07:00,21:00.0,1
T7,R803,01/01/2019 07:00,13:12.0,0
T440,R804,01/01/2019 07:00,06:36.0,0
T373,R806,01/01/2019 07:00,50:24.0,1
T525,R807,01/01/2019 07:00,36:00.0,0
T279,R809,01/01/2019 07:00,40:48.0,0
T446,R810,01/01/2019 07:00,06:36.0,0
T236,R812,01/01/2019 07:00,39:36.0,0
T189,R813,01/01/2019 07:00,58:48.0,1
T312,R814,01/01/2019 07:00,25:48.0,1
T574,R815,01/01/2019 07:00,01:12.0,0
T249,R816,01/01/2019 07:00,43:48.0,0
T384,R819,01/01/2019 07:00,55:48.0,1
T309,R821,01/01/2019 07:00,37:12.0,0
T422,R825,01/01/2019 07:00,46:48.0,0
T371,R828,01/01/2019 07:00,19:12.0,0
T464,R865,01/01/2019 07:00,21:36.0,1
T158,R870,01/01/2019 07:00,17:24.0,0
T3,R873,01/01/2019 07:00,16:12.0,0
T257,R874,01/01/2019 07:00,50:24.0,1
T354,R875,01/01/2019 07:00,41:24.0,0
T230,R876,01/01/2019 07:00,22:12.0,1
T209,R877,01/01/2019 07:00,10:48.0,0
T153,R878,01/01/2019 07:00,19:12.0,0
T616,R879,01/01/2019 07:00,00:00.0,0
T348,R880,01/01/2019 07:00,29:24.0,0
T91,R881,01/01/2019 07:00,57:36.0,0
T190,R883,01/01/2019 07:00,32:24.0,0
T537,R884,01/01/2019 07:00,42:00.0,0
T445,R886,01/01/2019 07:00,52:48.0,0
T160,R888,01/01/2019 07:00,09:00.0,0
T21,R889,01/01/2019 07:00,37:12.0,0
T601,R890,01/01/2019 07:00,33:00.0,0
T269,R891,01/01/2019 07:00,23:24.0,1
T507,R892,01/01/2019 07:00,01:48.0,0
T60,R893,01/01/2019 07:00,03:36.0,0
T78,R894,01/01/2019 07:00,22:48.0,0
T338,R895,01/01/2019 07:00,12:36.0,0
T391,R896,01/01/2019 07:00,27:00.0,0
T528,R897,01/01/2019 07:00,09:00.0,0
T88,R898,01/01/2019 07:00,15:36.0,0
T193,R899,01/01/2019 07:00,49:48.0,0
T332,R900,01/01/2019 07:00,50:24.0,0
T16,R902,01/01/2019 07:00,20:24.0,0
T438,R903,01/01/2019 07:00,16:48.0,0
T603,R905,01/01/2019 07:00,24:36.0,0
T307,R906,01/01/2019 07:00,00:36.0,0
T400,R908,01/01/2019 07:00,27:36.0,0
T547,R909,01/01/2019 07:00,20:24.0,0
T364,R910,01/01/2019 07:00,34:48.0,0
T453,R911,01/01/2019 07:00,19:12.0,0
T481,R912,01/01/2019 07:00,55:12.0,0
T299,R913,01/01/2019 07:00,13:48.0,0
T343,R918,01/01/2019 07:00,48:36.0,0
T504,R921,01/01/2019 07:00,25:12.0,0
T191,R922,01/01/2019 07:00,42:36.0,0
T61,R923,01/01/2019 07:00,06:36.0,0
T562,R924,01/01/2019 07:00,31:48.0,0
T516,R925,01/01/2019 07:00,34:12.0,0
T395,R926,01/01/2019 07:00,09:36.0,0
T54,R927,01/01/2019 07:00,12:36.0,0
T132,R928,01/01/2019 07:00,33:36.0,1
T597,R929,01/01/2019 07:00,51:00.0,1
T607,R931,01/01/2019 07:00,32:24.0,0
T548,R932,01/01/2019 07:00,41:24.0,0
T155,R934,01/01/2019 07:00,16:48.0,0
T358,R936,01/01/2019 07:00,23:24.0,0
T591,R937,01/01/2019 07:00,37:12.0,0
T224,R938,01/01/2019 07:00,15:36.0,1
T526,R939,01/01/2019 07:00,49:48.0,0
T587,R940,01/01/2019 07:00,37:12.0,0
T238,R941,01/01/2019 07:00,40:12.0,0
T248,R942,01/01/2019 07:00,00:36.0,0
T490,R943,01/01/2019 07:00,16:12.0,0
T594,R944,01/01/2019 07:00,12:36.0,0
T131,R945,01/01/2019 07:00,07:12.0,0
T199,R946,01/01/2019 07:00,10:48.0,0
T426,R947,01/01/2019 07:00,27:00.0,1
T558,R948,01/01/2019 07:00,34:48.0,0
T92,R950,01/01/2019 07:00,00:36.0,0
T572,R951,01/01/2019 07:00,37:12.0,0
T566,R953,01/01/2019 07:00,10:48.0,0
T256,R954,01/01/2019 07:00,28:48.0,1
T176,R956,01/01/2019 07:00,14:24.0,0
T314,R957,01/01/2019 07:00,21:36.0,1
T195,R958,01/01/2019 07:00,50:24.0,0
T277,R959,01/01/2019 07:00,23:24.0,1
T106,R960,01/01/2019 07:00,34:12.0,0
T4,R961,01/01/2019 07:00,17:24.0,0
T167,R966,01/01/2019 07:00,54:36.0,1
T568,R970,01/01/2019 07:00,38:24.0,0
T424,R971,01/01/2019 07:00,20:24.0,0
T17,R974,01/01/2019 07:00,33:36.0,1
T433,R975,01/01/2019 07:00,40:48.0,0
T168,R976,01/01/2019 07:00,58:12.0,0
T268,R977,01/01/2019 07:00,52:48.0,0
T418,R979,01/01/2019 07:00,42:00.0,0
T96,R980,01/01/2019 07:00,41:24.0,0
T465,R982,01/01/2019 07:00,34:48.0,0
T452,R984,01/01/2019 07:00,39:00.0,0
T527,R985,01/01/2019 07:00,04:48.0,0
T28,R986,01/01/2019 07:00,37:12.0,0
T498,R988,01/01/2019 07:00,37:12.0,0
T506,R989,01/01/2019 07:00,09:36.0,0
T48,R991,01/01/2019 07:00,46:48.0,0
T266,R992,01/01/2019 07:00,07:48.0,0
T26,R993,01/01/2019 07:00,08:24.0,0
T19,R994,01/01/2019 07:00,07:48.0,0
T65,R995,01/01/2019 07:00,05:24.0,0
T286,R996,01/01/2019 07:00,08:24.0,0
T471,R998,01/01/2019 07:00,44:24.0,0
T67,R999,01/01/2019 07:00,26:24.0,1
T337,R1001,01/01/2019 07:00,17:24.0,0
T439,R1002,01/01/2019 07:00,06:36.0,1
T292,R1004,01/01/2019 07:00,16:48.0,0
T100,R1005,01/01/2019 07:00,27:36.0,0
T523,R1007,01/01/2019 07:00,54:00.0,0
T567,R1008,01/01/2019 07:00,29:24.0,0
T501,R1057,01/01/2019 07:00,48:36.0,1
T148,R1062,01/01/2019 07:00,30:00.0,0
T378,R1066,01/01/2019 07:00,07:48.0,0
T295,R1067,01/01/2019 07:00,55:48.0,0
T56,R1068,01/01/2019 07:00,10:12.0,0
T259,R1069,01/01/2019 07:00,49:12.0,0
T95,R1070,01/01/2019 07:00,42:36.0,0
T194,R1071,01/01/2019 07:00,03:00.0,1
T264,R1072,01/01/2019 07:00,24:36.0,0
T71,R1073,01/01/2019 07:00,24:00.0,0
T455,R1075,01/01/2019 07:00,52:48.0,0
T164,R1076,01/01/2019 07:00,16:48.0,0
T50,R1077,01/01/2019 07:00,34:48.0,1
T242,R1080,01/01/2019 07:00,04:12.0,1
T460,R1081,01/01/2019 07:00,30:36.0,0
T180,R1082,01/01/2019 07:00,42:00.0,0
T261,R1083,01/01/2019 07:00,48:36.0,1
T326,R1084,01/01/2019 07:00,37:12.0,0
T473,R1085,01/01/2019 07:00,27:36.0,0
T405,R1086,01/01/2019 07:00,16:48.0,0
T105,R1087,01/01/2019 07:00,05:24.0,0
T308,R1088,01/01/2019 07:00,35:24.0,0
T84,R1089,01/01/2019 07:00,40:12.0,0
T417,R1090,01/01/2019 07:00,55:12.0,1
T254,R1091,01/01/2019 07:00,00:36.0,0
T245,R1092,01/01/2019 07:00,27:00.0,1
T383,R1094,01/01/2019 07:00,27:36.0,0
T553,R1095,01/01/2019 07:00,55:12.0,1
T35,R1097,01/01/2019 07:00,42:00.0,0
T593,R1098,01/01/2019 07:00,54:00.0,0
T413,R1100,01/01/2019 07:00,25:48.0,1
T575,R1101,01/01/2019 07:00,55:12.0,0
T488,R1102,01/01/2019 07:00,36:00.0,0
T276,R1103,01/01/2019 07:00,20:24.0,1
T346,R1104,01/01/2019 07:00,06:00.0,1
T554,R1153,01/01/2019 07:00,52:12.0,0
T588,R1158,01/01/2019 07:00,00:00.0,0
T486,R1161,01/01/2019 07:00,13:12.0,0
T290,R1162,01/01/2019 07:00,19:12.0,0
T497,R1163,01/01/2019 07:00,30:36.0,0
T165,R1164,01/01/2019 07:00,06:00.0,0
T184,R1165,01/01/2019 07:00,10:48.0,1
T444,R1166,01/01/2019 07:00,09:36.0,0
T310,R1167,01/01/2019 07:00,06:36.0,0
T192,R1168,01/01/2019 07:00,27:36.0,1
T137,R1169,01/01/2019 07:00,33:36.0,0
T30,R1171,01/01/2019 07:00,09:00.0,0
T285,R1172,01/01/2019 07:00,23:24.0,1
T538,R1173,01/01/2019 07:00,39:00.0,0
T459,R1175,01/01/2019 07:00,04:12.0,1
T589,R1177,01/01/2019 07:00,34:12.0,0
T596,R1178,01/01/2019 07:00,31:48.0,0
T614,R1179,01/01/2019 07:00,49:48.0,0
T169,R1180,01/01/2019 07:00,42:36.0,0
T499,R1181,01/01/2019 07:00,28:48.0,0
T62,R1182,01/01/2019 07:00,01:12.0,0
T149,R1183,01/01/2019 07:00,07:48.0,0
T234,R1184,01/01/2019 07:00,22:48.0,0
T351,R1185,01/01/2019 07:00,09:00.0,1
T173,R1186,01/01/2019 07:00,52:48.0,0
T99,R1187,01/01/2019 07:00,48:36.0,1
T281,R1188,01/01/2019 07:00,31:12.0,0
T161,R1190,01/01/2019 07:00,45:00.0,1
T182,R1191,01/01/2019 07:00,17:24.0,0
T565,R1193,01/01/2019 07:00,25:48.0,0
T179,R1194,01/01/2019 07:00,51:36.0,0
T318,R1196,01/01/2019 07:00,50:24.0,0
T423,R1197,01/01/2019 07:00,12:36.0,0
T319,R1198,01/01/2019 07:00,54:36.0,0
T610,R1199,01/01/2019 07:00,20:24.0,1
T274,R1200,01/01/2019 07:00,27:00.0,0
T361,R1201,01/01/2019 07:00,12:36.0,0
T511,R1206,01/01/2019 07:00,49:48.0,0
T366,R1210,01/01/2019 07:00,34:12.0,0
T324,R1211,01/01/2019 07:00,16:12.0,0
T334,R1214,01/01/2019 07:00,28:48.0,0
